iters,min_cf,min_df,rm_top,num_topics,num_beta_sample,removed_top_words,topics
100,30,20,25,30,1,one also two number used set function first may given theory called group space using many form point university every time known see new use,"Topic #0 lie category algebra map projective topology
Topic #1 angle around end operation exterior deviation
Topic #2 metric curvature quantum riemannian einstein various
Topic #3 polynomial integral transform variable value fixed
Topic #4 quantum field vector image machine fuzzy
Topic #5 gravitational per gauge light model models
Topic #6 energy phase velocity conditional bits logic
Topic #7 population learning optimization philosophy financial price
Topic #8 vector matrix tiling tilings normal lattice
Topic #9 signal null graphs transition energy transformation
Topic #10 player students code black work years
Topic #11 search public films economic early government
Topic #12 node algorithm information data entropy estimate
Topic #13 basis permutation exact kernel groups fourier
Topic #14 rule logical central single mean circular
Topic #15 representations representation homotopy fourier coefficient coordinate
Topic #16 derivative hash error reference words scale
Topic #17 test control event features cone filter
Topic #18 x binary system partition decimal always
Topic #19 american united people school society research
Topic #20 random process probability stochastic poisson gaussian
Topic #21 distribution sample probability distributions turing regression
Topic #22 equation problem perfect solutions cyclic arithmetic
Topic #23 statistical degree series markov axiom member
Topic #24 matrix k finite matrices subset real
Topic #25 graph regular vertices hyperbolic vertex square
Topic #26 prime analytic statistics primes volume smallest
Topic #27 mathematics triangle curve knot journal circle
Topic #28 analysis factor proved theorems theorem surface
Topic #29 mathematical five selected notes ratio generalized"
100,30,20,25,30,5,one also two number used set function first may given theory called group space using many form point university every time known see new use,"Topic #0 polynomial polynomials curve orthogonal triangle line
Topic #1 test operator matrices size basis unitary
Topic #2 logical system highly solutions directed propositional
Topic #3 lie matrix tangent exponential product real
Topic #4 ring algebra g element boolean groups
Topic #5 turing string logic programming language tree
Topic #6 distribution variable random variables variance density
Topic #7 population entropy network data sampling price
Topic #8 wave velocity rotation angle speed gravitational
Topic #9 binary rule b large frame r
Topic #10 energy quantum city south risk einstein
Topic #11 image c interval algorithm lower upper
Topic #12 fourier law vector transform action field
Topic #13 graph boundary points projective fundamental curvature
Topic #14 method equation distance standard deviation value
Topic #15 category vector map tensor spaces f
Topic #16 national social philosophy united school american
Topic #17 flow signal game relativity world test
Topic #18 particles computer college roman universe education
Topic #19 political player philosophy ancient magnetic fluid
Topic #20 algorithm node algorithms hash tree code
Topic #21 matrix sets axiom graph subset topological
Topic #22 probability distribution random sample data hypothesis
Topic #23 research age united world book engineering
Topic #24 prime numbers n k primes integer
Topic #25 de american equation study work states
Topic #26 mathematical theorem mathematics journal algebraic algebra
Topic #27 regular hyperbolic uniform dual vertex convex
Topic #28 knot family part degree six center
Topic #29 statistical statistics conjecture named association alumni"
100,20,20,50,30,1,one also two number used set function first may given theory called group space using many form point university every time known see new use since defined data mathematical x references value field different would vector system order case linear numbers theorem model distribution probability functions real matrix general n,"Topic #0 element homotopy manifold map manifolds riemannian
Topic #1 american society science school national philosophy
Topic #2 wave axis equation spin uncertainty period
Topic #3 category object complexity machine step weight
Topic #4 graph node graphs distance minimum nodes
Topic #5 early logic indian control research work
Topic #6 line right flow network tree change
Topic #7 size z ordered roots cell even
Topic #8 fourier einstein frequency digit digits species
Topic #9 lie algebra product algebras multiplication universal
Topic #10 current logic approach scientific truth physics
Topic #11 test response tests information music pressure
Topic #12 sample population sampling estimator state likelihood
Topic #13 bundle black circles circle lines information
Topic #14 input bits color rotation output greek
Topic #15 quantum phase entropy energy particles memory
Topic #16 game player economic philosophy government social
Topic #17 ring hash cohomology motion classical circular
Topic #18 string groups abelian isomorphic g standard
Topic #19 transform derivative error optimization convergence variables
Topic #20 german turing logical language life languages
Topic #21 random variable regression process mean algorithm
Topic #22 prime topological base tiling tilings primes
Topic #23 regular uniform symmetry edge edges great
Topic #24 algebraic polynomials polynomial curve surfaces characteristic
Topic #25 knot differential closed let matrices spaces
Topic #26 triangle dual p convex algebra partial
Topic #27 statistical mathematics mathematicians journal center statistics
Topic #28 c analysis q g banach markov
Topic #29 list published academy perfect members statistics"
100,15,20,50,30,1,one also two number used set function first may given theory called group space using many form point university every time known see new use since defined data mathematical x references value field different would vector system order case linear numbers theorem model distribution probability functions real matrix general n,"Topic #0 scientific philosophy journal world united students
Topic #1 graph triangle vertex vertices circle angle
Topic #2 equation equations law signal derivative frequency
Topic #3 ring g spaces axiom ideal distance
Topic #4 quantum operator matrices operators hilbert affine
Topic #5 einstein velocity flow force western boolean
Topic #6 code output algorithm language bundle languages
Topic #7 complexity honeycomb lines nodes around pendulum
Topic #8 player ancient game hash greek strategy
Topic #9 algorithm network input entropy step algorithms
Topic #10 binary riemann power rank root morphism
Topic #11 product element basis coordinate elements define
Topic #12 control program design experimental government war
Topic #13 logic logical rule truth rules magnetic
Topic #14 process systems row carlo monte sign
Topic #15 turing became sciences academy prize royal
Topic #16 population state magic sample medical sampling
Topic #17 tree energy node physics quantum gravitational
Topic #18 method search commutative symplectic median coefficient
Topic #19 lie representation division cell left galois
Topic #20 sum variable variables ratio b interval
Topic #21 random statistical test fourier distributions bayesian
Topic #22 category v unit lattice z c
Topic #23 topology polynomial topological curve curves subset
Topic #24 generalized discrete stochastic integral boundary transform
Topic #25 prime base symmetric primes subgroup integers
Topic #26 knot american faculty family elementary mathematicians
Topic #27 hyperbolic regular convex uniform symbol index
Topic #28 polynomials sequence list theorems surfaces name
Topic #29 software optimization applications branch partial peter"
100,20,20,50,30,3,one also two number used set function first may given theory called group space using many form point university every time known see new use since defined data mathematical x references value field different would vector system order case linear numbers theorem model distribution probability functions real matrix general n,"Topic #0 lie convex knot g edge points
Topic #1 tree languages formal potential physical particles
Topic #2 node equation sort large theories equations
Topic #3 graph graphs transform interval spectral rational
Topic #4 normal formula limit element category sequence
Topic #5 column inverse b groups c constant
Topic #6 philosophy school social society life science
Topic #7 state gravity force phase light energy
Topic #8 regular hyperbolic vertex symmetry plane vertices
Topic #9 quantum philosophers royal became women public
Topic #10 cohomology velocity character symbols representation characters
Topic #11 french axis film rotation films material
Topic #12 algorithm derivative step gradient path law
Topic #13 energy ancient nodes roman array video
Topic #14 random turing machine population sample correlation
Topic #15 logic game player logical world economic
Topic #16 frequency signal regression mean estimator average
Topic #17 sampling magic observations sample parameters confidence
Topic #18 roots circles found root right us
Topic #19 bundle affine markov curvature riemannian block
Topic #20 hilbert operator f map fourier operators
Topic #21 ring metric measure smooth homotopy local
Topic #22 algorithms code boundary method along equations
Topic #23 test optimization error problem rule category
Topic #24 algebra prime sum p finite topology
Topic #25 american statistics mathematicians institute research professor
Topic #26 surface journal mathematics conjecture surfaces faces
Topic #27 integer infinite polynomials differential complex elementary
Topic #28 statistical family states numerical differential equation
Topic #29 list square generalized geometry john small"
100,30,10,50,30,1,one also two number used set function first may given theory called group space using many form point university every time known see new use since defined data mathematical x references value field different would vector system order case linear numbers theorem model distribution probability functions real matrix general n,"Topic #0 western college letters became life philosophy
Topic #1 gaussian hilbert digits size identity spectral
Topic #2 regular vertices distance angle vertex edge
Topic #3 law functor rate standard truth spin
Topic #4 notion action argument homogeneous spaces formulas
Topic #5 error information current momentum graphics cell
Topic #6 algorithm energy sampling method film particle
Topic #7 power signal equation filter conditional quadratic
Topic #8 hash end permutation rotation node cannot
Topic #9 quantum einstein return world learning war
Topic #10 velocity mass algorithm equilibrium models covariance
Topic #11 sample test boolean input transition search
Topic #12 fourier magic characters period behavior transform
Topic #13 entropy player machine algorithm flow performance
Topic #14 state turing computer complexity led machine
Topic #15 bundle physical force world fiber relativity
Topic #16 ring circle ideal object right map
Topic #17 game social population philosophy economic political
Topic #18 random process mean matrices negative tangent
Topic #19 graph category commutative graphs map structure
Topic #20 regression correlation transform logical program mechanics
Topic #21 american society people logic language cohomology
Topic #22 p metric normal g subgroup product
Topic #23 mathematics journal research published international lie
Topic #24 prime equation differential algebraic integer proof
Topic #25 let sequence symmetry projective sphere r
Topic #26 hyperbolic uniform knot plane line tiling
Topic #27 statistical statistics polynomials open surface polynomial
Topic #28 algebra squares list type projection degrees
Topic #29 series factor ratio complex similar analysis"
100,20,10,25,30,5,one also two number used set function first may given theory called group space using many form point university every time known see new use,"Topic #0 lie algebra ring category x g
Topic #1 series transform rate fourier ratio end
Topic #2 regular vertex vertices angle symmetry points
Topic #3 distribution random probability density variance mass
Topic #4 einstein chinese german de body ideas
Topic #5 population state world french led sampling
Topic #6 root division operations book study work
Topic #7 binary model arithmetic natural analytic decimal
Topic #8 tree energy quantum wave conditional potential
Topic #9 circle boolean distance magic circles table
Topic #10 node matrix tree matrices metric unitary
Topic #11 player hash regression game film data
Topic #12 sample energy black method likelihood key
Topic #13 human philosophy ancient roman indian knowledge
Topic #14 input game velocity system output language
Topic #15 quantum turing machine local particle decision
Topic #16 city united war religious women jewish
Topic #17 object f objects isomorphism field direct
Topic #18 rotation angular cauchy base monte primes
Topic #19 american research people institute students national
Topic #20 data models error method networks lagrangian
Topic #21 knot matrix vector bundle line character
Topic #22 algorithm logic problem axiom measure b
Topic #23 equation polynomial curve probability distribution solution
Topic #24 p functions graph normal k x
Topic #25 statistical mathematical mathematics published statistics journal
Topic #26 convex matrix n proof inequality q
Topic #27 theorem prime differential polynomials algebraic states
Topic #28 uniform dual related great list triangular
Topic #29 analysis proved model numerical following second"
100,20,10,50,30,10,one also two number used set function first may given theory called group space using many form point university every time known see new use since defined data mathematical x references value field different would vector system order case linear numbers theorem model distribution probability functions real matrix general n,"Topic #0 regular vertices surface hyperbolic plane vertex
Topic #1 metric groups index central free lattice
Topic #2 statistical work research engineering studies book
Topic #3 operator sets sequence axiom triangle map
Topic #4 problem distance flow equations complexity input
Topic #5 fourier equation transform series bound integral
Topic #6 united school war social national world
Topic #7 normal continuous spaces open measure u
Topic #8 test boolean systems hypothesis error algorithm
Topic #9 string important pythagorean law structure study
Topic #10 ring complex matrices product inverse cohomology
Topic #11 node graph graphs nodes tree decimal
Topic #12 wave light frequency effect mass response
Topic #13 digital programming color design optimization software
Topic #14 turing machine language computer law kinetic
Topic #15 code binary bits bit noise permutation
Topic #16 political philosophy population philosophers city price
Topic #17 method decomposition values discrete vectors step
Topic #18 random sample variables variable process variance
Topic #19 player game logic state energy network
Topic #20 quantum energy einstein velocity momentum particles
Topic #21 strategy algorithm parallel ratio length small
Topic #22 category hash character objects object ancient
Topic #23 film loop music cardinal films nuclear
Topic #24 regression control estimator rule magic observations
Topic #25 algebra lie identity g elements formula
Topic #26 algebraic projective polynomial tangent manifold knot
Topic #27 american mathematics society journal mathematicians international
Topic #28 prime sum polynomials dual p square
Topic #29 analysis states statistical degree series fields"
100,30,10,50,30,3,one also two number used set function first may given theory called group space using many form point university every time known see new use since defined data mathematical x references value field different would vector system order case linear numbers theorem model distribution probability functions real matrix general n,"Topic #0 complex lie polynomial curve polynomials affine
Topic #1 graph base row sets square digit
Topic #2 b category finite subset topological let
Topic #3 world philosophy city turing scientific education
Topic #4 large word greek genetic made arabic
Topic #5 circle line tangent angle lines points
Topic #6 homotopy measure metric principal singular operations
Topic #7 quantum graphs state history study including
Topic #8 magic distance lorentz light irreducible jordan
Topic #9 ring mean local commutative path objects
Topic #10 normal hypothesis growth filter null binary
Topic #11 groups hyperbolic subgroup tiling symmetry tilings
Topic #12 bundle entropy relativity calculus code coding
Topic #13 equations momentum languages equation dirichlet tensor
Topic #14 player game price strategy players network
Topic #15 energy string flow mass quantum particle
Topic #16 complexity computer games game algorithms program
Topic #17 node software tree design black regression
Topic #18 fourier transform frequency axis frame bit
Topic #19 knot logic loop end art knots
Topic #20 character events response decision king film
Topic #21 test variable rule standard binomial rate
Topic #22 algorithm solution problem algorithms search method
Topic #23 american united national people british college
Topic #24 random statistical statistics distributions process density
Topic #25 von analytic proof book galois series
Topic #26 differential journal partial algebra functional conjecture
Topic #27 mathematics states continuous algebraic fields surfaces
Topic #28 regular uniform vertices convex list square
Topic #29 prime primes analysis john related degree"
100,20,20,25,40,1,one also two number used set function first may given theory called group space using many form point university every time known see new use,"Topic #0 functions x product invariant n real
Topic #1 groups bundle map spaces sets topological
Topic #2 war united world national social became
Topic #3 graph graphs angle path edge length
Topic #4 fourier law local scale normal classical
Topic #5 c right f e tensor elements
Topic #6 language tangent quantum circles curvature body
Topic #7 process input output change image rules
Topic #8 game player players equilibrium began play
Topic #9 hash energy complexity games political chemical
Topic #10 rate expected solar films individuals conditional
Topic #11 music learning social team program evolutionary
Topic #12 tree digits digit partition trees top
Topic #13 node data entropy code mean correlation
Topic #14 logical mass basis rule logic measure
Topic #15 equation irreducible normal vector integral complex
Topic #16 filter phase step critical quality model
Topic #17 algorithm de philosophers symbols system letters
Topic #18 turing city public economic government human
Topic #19 regular vertex symmetry line vertices lines
Topic #20 hyperbolic tiling tilings software distance black
Topic #21 control test period level hypothesis potential
Topic #22 boolean bits signal methods cone acceleration
Topic #23 b binary must binomial proper axiom
Topic #24 ring x field commutative scheme ordered
Topic #25 philosophy einstein world truth military belief
Topic #26 quantum equation velocity system solution conformal
Topic #27 category von object indian relations neumann
Topic #28 error test method null kernel search
Topic #29 distribution probability random sample population data
Topic #30 matrix linear vector matrices element polynomial
Topic #31 value variable values formula exponential variables
Topic #32 algebraic algebra lie g k knot
Topic #33 john physics state string optimization markov
Topic #34 sequence curve prime p numbers edges
Topic #35 american society people school journal mathematicians
Topic #36 dual sum squares geometry inequality square
Topic #37 series theorem polynomials degree conjecture class
Topic #38 mathematical statistics factor proof mathematics stochastic
Topic #39 list related uniform constructed index polyhedra"
100,20,10,25,30,3,one also two number used set function first may given theory called group space using many form point university every time known see new use,"Topic #0 ring projective algebra vector transform ideal
Topic #1 energy cohomology affine reference early angular
Topic #2 curve c b must derivative definitions
Topic #3 complex riemann integral field direct power
Topic #4 united national world school prize english
Topic #5 square regular vertices symmetry three vertex
Topic #6 category vector groups field image free
Topic #7 turing quantum network bundle spin component
Topic #8 circle algorithm fourier distance frequency method
Topic #9 density search entropy programming magic distribution
Topic #10 player message hash true word would
Topic #11 light object median language lorentz gravitational
Topic #12 tree velocity rules axis system control
Topic #13 rotation event energy mean mass critical
Topic #14 matrix matrices circular basis orbit higher
Topic #15 model probability test regression variance hash
Topic #16 philosophy research philosophers functor became category
Topic #17 game players quantum particles particle films
Topic #18 logic logical machine truth estimator learning
Topic #19 algorithm graph node graphs boolean error
Topic #20 code einstein created digital cycle compression
Topic #21 data sample process rate population random
Topic #22 numbers prime p integer sum n
Topic #23 lie equation hilbert operator algebras lattice
Topic #24 matrix distribution x topological subset sets
Topic #25 american triangle mathematics published journal angle
Topic #26 algebraic differential index factor subgroup introduced
Topic #27 convex uniform statistics statistical regular plane
Topic #28 knot theorem family geometric mathematical k
Topic #29 polynomial analysis geometry theorem points discrete"
